Number;Description;Development_Type;Dev_Cat;Affect_RPA;Dev_Sprint;Effort;Assignment_group
RITM0882254;"Incrementar o Dashboard de tasks, aba Automation, incluindo consulta de ""Tempo de Processamento"" vs ""SLA"" da Task das automações. As áreas reclamam que a automação está demorando com base na percepção ou em um caso pontual. Se a informação estivesse disponível, poderiam consultar antes de abrir uma reclamação.
A Equipe RPA também pode usar para analisar rapidamente. Hoje fazemos a análise pela tabela em anexo.";Dashboards and Reports;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0882637;"Para o formulário PTP_060 opção B1 somente permitir selecionar centro de custo conforme a empresa selecionada
.
Por ex. selecionado empresa 1023 somente permitir selecionar Centros de custos da empresa 1023.";Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0882828;"Liberar esses formulários para os grupos da Argentina e Brasil.

Solicitação para configurar impressão de planejadores MRP
Executar SAP Job
Criar Job SAP
Alterar agendamento de Job SAP
Outras solicitações de SAP Job
Solicitação de hierarquia de produto
Solicitação para configurar macro e micro segmento / code setor
Change SAP purchase requisition approver
Liberar code de aprovação SAP (Requisições de Compra)
Erro SAP (SU53)";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0882992;"Realizar ajuste no fluxo para atendimento dos itens de Catalogo da Argentina:

Soporte / Soporte de dispositivos locales de TI:

1- Computer Support
LINK:https://wbs.myweg.net/sp?id=sc_cat_item&sys_id=bc2d6d2f1bfcbc10b5442068b04bcbb3&catalog_id=-1

1- Support for Data Loggers/Collectors
LINK:https://wbsqa.myweg.net/sp?id=sc_cat_item&sys_id=03b2d32f87f8bc10ab942139cebb35e1&catalog_id=-1

Ajuste necessario: 
Quando os usuários da Argentina, abrirem um incidente através desses itens, devem ser direcionados e atribuídos na fila de atendimento _GG_WBS_IT_AR_FIELD_SERVICE_WEE. Independentemente do local “Oficina”.

Mais informações em anexo.

Qualquer duvida estou a disposição.";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0883357;NECESSÁRIO PARA ROLLOUT CHILE/PERU - Tradução dos arquivos em anexo.;Service Catalog;;No;12;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0883357;NECESSÁRIO PARA ROLLOUT CHILE/PERU - Tradução dos arquivos em anexo.;Service Catalog;;No;12;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0883402;Ajustar workflow e formulário de impostos, conforme anexo.;Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0883430;Ajustar workflow e formulário de impostos, conforme anexo.;Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0884271;"No OTC_501, no multirow de ""Dados do Cheque"" incluir o campo abaixo (na posição 2 - apos numero do cheque)
traduções: PT: Banco / EN: Bank / ES: Banco";Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0885321;"Alterar texto de categoria em espanhol, para alinhar com as traduções em português e inglês.
Dentro da PTP a categoria: ""Datos Maestros de Material""

Alterar para: ""Registro de Materiales""";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0885705;"Alteração no fluxo da OTC_048
Estamos incluindo novos passos.";Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0886484;"NECESSÁRIO PARA ROLLOUT CHILE/PERU - alterar o FF003 para a mesma coisa que foi feita no RITM0862478. Se for Brasil: manter como está. Se for fora do Brasil: desativar o SAP Token, ocultar o campo Partner e adicionar campo ""Banco"" com opção de Outros, abrindo campo Outros com possibilidade de escrever (como foi feito no formulário FF115).";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0888327;Ajustar carga da tabela wbs_ecc_anla no Oracle/SAP DS para trazer também o campo DEAKT do SAP (tabela ANLA).;Data and Loads;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0890178;"Bloquear a OTC_081 para que não possa ser utilizada quando o código de barras gerado (OTC_080) estiver marcado como ""Grandes Volumes"". 
Esta lógica já é utilizada na OTC_087, bloqueando o acesso quando o código marca ""pequenos volumes"".";Service Catalog;;No;;6;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0890178;"Bloquear a OTC_081 para que não possa ser utilizada quando o código de barras gerado (OTC_080) estiver marcado como ""Grandes Volumes"". 
Esta lógica já é utilizada na OTC_087, bloqueando o acesso quando o código marca ""pequenos volumes"".";Service Catalog;;No;;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0890943;"Efetuar ajuste em formulário de criação de fila

* Adicionar a pergunta ""Qual a categoria"", como referencia na sc_category filtrando por parent OTC-PTP-RTR-IT-GSP
* Adicionar a pergunta ""Qual o idioma da fila"", com opções ""Português, Inglês, Espanhol"".

Existe uma pergunta ""required additional approval"" aonde não está obrigatória no agentworkspace, necessário que seja.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0891355;"Desabilitar a ""tarefa"" dos cobradores 104 e 109 nos OTC's 028 e 291.
Os cobradores 104 e 109 não possuem carteira de cobrança no momento, caso futuramente voltem a ter carteira de cobrança, iremos solicitar a ativação.
Anexo a planilha com as linhas ""marcadas em Azul"".";Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0891437;"***CRÍTICO***
Formulário está permitindo solicitações com falta de informação gerando retrabalho aos atendente.

correção:

Tornar o campo ""Como você gostaria de inserir as informações?"" - OBRIGATÓRIO

Caso for selecionado a opção ""Manualmente (preenchendo o formulário)"" - tornar o subform de dados de centro e materiais OBRIGATÓRIO

Caso for selecionado a opção ""Anexando uma planilha"" - Inserir um texto explicativo abaixo do campo ""anexo"" com os seguintes dizeres: ""Anexar arquivo que contenha o(s) material(ais) e seu(s) centro(s) que deve(m) ser atualizado(s)""

obs.: o campo ""anexo"" já é obrigatório quando selecionada a opção equivalente;
obs.: como a seleção das opções da forma de envio das informações referentes a materiais e centros não é obrigatória, os solicitantes estão submetendo os formulários sem estas informações, impossibilitando o atendimento de imediato.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0892353;"ID: OTC_282
Nome do campo: Informe a área de vendas:

Na Task não aparece esse campo, e no e-mail está aparecendo. 
Deve corrigir essa informação para aparecer na task.
Print anexo.";Agent Workspace;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0893111;"Ajustar as permissões de acesso aos formulários conforme anexo.
Campo em ""branco"", considerar permissão global.";Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0893199;"OTC_108 | OTC_057 | OTC_152

Incluir pergunta no formulário ""Necessita enviar spool da NF para outra Unidade?"". Iniciar respondida com Não. 
Quando modificada para Sim, abrir campo de preenchimento obrigatório: ""Qual Unidade?"" (pergunta e lógica já estão aplicadas na OTC_161).

Ao responder a pergunta ""Necessita enviar spool da NF para outra Unidade?"" com Sim, marcar  variable ""send_the_invoice_spool_to_another_unit = Yes"", para abrir tarefa condicional do WF.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0893359;"Desenvolver nova rotina PTP - Dados Mestres de Materiais conforme os parâmetros dos arquivo em anexo (Catálogo/WF)
Obs.: O ideal é que a rotina seja executada já no mês que vem 01/04.";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0893469;Criar oferta de serviço e WF conforme arquivo anexo;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0893504;Criar oferta de serviço e WF conforme arquivo anexo;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0893950;"Configurar a criação automática de IR, quando é liberado acesso à aplicação DocuSign via SGA.
A IR deve ser aberta para a equipe e especialidade conforme abaixo.
EQUIPE: Recursos Humanos
ESPECIALIDADE: DocuSign";Integrations (SalesForce, SAP,  B1, Automic, Active Directory, etc.);;No;13;6;_GG_WBS_PLATFORM_TECHNICAL_ANALYSIS
RITM0893950;"Configurar a criação automática de IR, quando é liberado acesso à aplicação DocuSign via SGA.
A IR deve ser aberta para a equipe e especialidade conforme abaixo.
EQUIPE: Recursos Humanos
ESPECIALIDADE: DocuSign";Integrations (SalesForce, SAP,  B1, Automic, Active Directory, etc.);;No;13;6;_GG_WBS_SERVICE_CENTER_SUPPORT_LEGACY_SYSTEMS
RITM0894035;"No workflow OTC_WF_007, oferta de serviço OTC_008, criar um subflow para que, após às 10h do dia de abertura da RITM, programar para aguardar a abertura da tarefa ""ENVIAR NF PARA BV"" para o dia seguinte às 8h da manhã, sem contar o SLA, que deverá ficar pausado.";Workflows and Tasks;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0894429;adicionar o campo data de vencimento;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0894451;"Necessário ajustar os formulários:

 1) Formulário para Novo acesso secundário (novo colaborador da representada):
 Formulário: Sales Representatives - Contacts
 Oferta de serviço: IT_478 | Create representative secretary login
 Campos a serem preenchidos (todos obrigatórios):
  a. Código da representada;
  b. Acesso para  ( ) SAP  ( ) EASY
  i. As funções/ transações devem estar definidas conforme perfil de acesso (alinhado com TI)
  c. Nome completo do colaborador (que receberá os acessos)
  d. Email: não pode ser utilizado email já cadastrado em outro login;
  e. Telefone de contato;
  f. Comentários (Justificativa): Justificar a criação/ alteração do login de acesso ou informar alguma exceção para avaliação.

 2) Formulário para Alteração de acesso secundário (ajuste de algum parâmetro de um acesso secundário já criado): 
 Formulário: Sales representatives - Secretaries
 Oferta de serviço: IT_477 | Create representative login
 Campos a serem preenchidos (todos obrigatórios):
  a. Código da representada;
  b. Acesso para  ( ) SAP  ( ) EASY
  i. As funções/ transações devem estar definidas conforme perfil de acesso (alinhado com TI)
  c. Nome completo do colaborador (que receberá os acessos)
  d. Email: não pode ser utilizado email já cadastrado em outro login;
  e. Telefone de contato;
  f. Comentários (Justificativa): Justificar a criação/ alteração do login de acesso ou informar alguma exceção para avaliação.

Enviar ambos para teste em QA.";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0895399;Oferta RTR_585 / WF_907 / FF053 - As tarefas não estão disparando no WF. Necessário ajustar manualmente.;Workflows and Tasks;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0895409;Oferta RTR_1008 / WF_903 / FF094 - Workflow não está abrindo as tasks no agent workspace. Necessário ajustar o WF manualmente.;Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0896896;Alterar schedule da oferta RTR_1716 para Global HUB | UTC-3 | Every month | 3 Business day | 10h;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0897784;"Habilitar Report ACLs conform case aberto pela ServiceNow: CS5919028

https://support.servicenow.com/kb?id=kb_article_view&sysparm_article=KB0958442";Dashboards and Reports;;No;12;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0897803;Criar nova oferta - OTC_529;Portal (Employees / Internal Users);;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0898106;ajustar aprovação do OTC_510, mais informações no anexo.;Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899273;Carregar a planilha RTR_Workflow_registration-Americas e aba Task Overwrite após 13:30.;Workflows and Tasks;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899280;Carregar a planilha RTR_Service Catalog_Americas  após 13:30. Fazer em sincronia com o chamado RITM0899273.;Service Catalog;;;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899400;"Criar componente para validação de update set (update set validator).
Validar conflitos entre liberações x objetos em desenvolvimento";Others;;;16;120;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0899437;"Solicito alteração no formulário ""FF105 - Criar número de imobilizado - Por aquisição"" para que quando o ordem de investimento que é selecionada é de uma empresa do Brasil seja usado o RTR_003 atual que temos nesta oferta.
Porem quando for de uma empresa do exterior deve de ser usado o RTR_3090.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899495;"Alteração no formulário ""FF052 - Criar número de imobilizado - Por regularização"" para que quando seja selecionada empresa do Brasil seja usado o atual RTR_045. Mas se for empresa do exterior deve ser usado o RTR_3091.";Service Catalog;;;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899568;"Alteração no formulário ""FF096 - Solicitar baixa de imobilizado"" para que quando seja selecionada empresa do Brasil seja utilizado o RTR_062 que é o atual deste formulário. Porem quando usada empresa do exterior deve ser usado o RTR_3092";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899597;"Alterações no formulário ""FF055 - Solicitar transferência de imobilizado entre centros de custo"" para que quando selecionada empresa do Brasil seja utilizado o atual RTR_004. mas quando selecionada empresa do exterior deve ser selecionado o RTR_3093";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899810;Fazer transporte da chave de abertura de DEV para PRD - RTR_KEY_3032 RTR_KEY_3032 - Por Unidade de Negócio (Empresas com SAP ECC - Brasil) WMO;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0899876;NECESSÁRIO PARA ROLLOUT CHILE/PERU - FF102 se o código da empresa do campo Empresa (Company) for maior que 3000, no campo Exchange Closure Type (Tipo de fechamento de cambio) manter apenas as opções Import e Others.;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0900182;RTR_KEY_4002 alterar data de início do parâmetro 3008 | Chile e 3011 | Peru  para 18/03 somente em QA, para realizar de testes. Ao final do chamado, voltar para data original.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0900597;RTR_3087 - remover Chave de Abertura e mudar tipo de Rotina para Estático nos ambientes QA, DEV e PRD.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0903894;Realizar as alterações conforme arquivo anexo para atender a WTD_ITA que será incorporada na WLO em 01/05/22;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0904201;"Necessito que seja criado uma regra para a oferta de serviço RTR_052.

Regra:
Quando o solicitante for do centro de custo 90100387, efetuar a aprovação automática ou pular a etapa de aprovação.

Motivo:
Quando o solicitante é da mesma fila que vai cair a atividade, não há necessidade de aprovação visto que utilizamos para atender as solicitações das unidades do Exterior que ainda não utilizam a plataforma WBS.";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0904635;"Transferir os dados do campo Scheduled Job Registration para Trabalho Agendado para as ofertas de serviço:

RTR_1299
RTR_622

Conforme conversei com a equipe do WBS, em algum momento foi feito a transferência entre esses campos, porém possivelmente essas atividades ficaram de fora.";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0904931;"1 - Na oferta ""Consultar Situação de pagamentos"" no portal interno do WBS colocar a seguinte nota logo abaixo do título do formulário.
""A Consulta de situação de pagamentos também pode ser realizada através do chatbot utilizando o serviço ""Consultar status do pagamento nota fiscal"".
2 - Além disso a oferta ""Consultar Situação de pagamentos"" não pode ser reaberta. Caso o solicitante quer reabrir a solicitação deverá informá-lo que não é possível e uma nova solicitação deve ser realizada. Caso o solicitante tentar reabrir a solicitação, colocar nota conforme abaixo:

Não é possível reabrir este tipo de solicitação. Favor proceder com a abertura de  nova solicitação.
No es posible reabrir este tipo de solicitud. Continúe con la apertura de una nueva solicitud.
It is not possible to reopen this type of request. Please proceed with opening a new request.

";Portal (Employees / Internal Users);;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0905356;"Criar novas ofertas: PTP_221 e PTP_222 para Chile e Peru.
Importante atentar-se que a oferta 222 precisa do botão de envio para aprovação que será acionado pelo RPA.";Service Catalog;;Yes;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0905428;Disparar em Produção a oferta RTR_1666.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0905438;"Disponibilizar o modelo anexo para a solicitação RTR-Custos - ""Solicitar atualização do custo de matéria-prima"" (FF146).";Service Catalog;;Yes;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0906444;Fazer transporte de DEV para PRD - RTR_KEY_3016 - Por Unidade de Negócio (Empresas com SAP ECC - Brasil) GER.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0909357;Alterar chave da oferta RTR_058 para RTR_KEY_4010 e disparar ela em produção.;Service Catalog;;Yes;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0909518;"Reformulação completa do formulário (novo) de modificação de fornecedores (PTP_010).
Todos os detalhes no arquivo em anexo.";Service Catalog;;No;12;40;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0909764;Correção do nome da oferta de serviços RTR_430 - FF133 precisa corrigir o nome do formulário para - Executar relatório mão de obra por país (salário/horas).;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0909856;"Gentileza ajustar o Script no campo ""Enviar para equipe de crédito analisar?"" na oferta OTC_136.";Workflows and Tasks;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0910552;"Gentileza efetuar ajuste conforme abaixo:

Adicionar pergunta para o atendente responder desde a primeira tarefa. Essa pergunta pode ficar dentro do fluxo em todas as tarefas, porém como não obrigatório e respondida automaticamente com ""Nao"":  Analise em Comissão de Crédito?
Se essa pergunta for respondida com ""Sim"" abrir tarefa abaixo:

Nome da tarefa: Analisar novo cliente com alçada de Comissão
Fila:_GG_WBS_OTC_BR_CREDIT_COM
SLA: (8-5) 44:00h
Esforço: 4h

Quando essa tarefa for respondida com Sim, deverá abrir essa tarefa e nao abrir as outras e alem disso essa tarefa deverá ser a ultima do fluxo. Assim que encerrada finalizada o RITM.

Incluir essa tarefa nas ofertas abaixo:
OTC_386
OTC_136
OTC_142";Service Catalog;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0910633;RTR_WF_1837 carregar o workflow conforme planilha RTR_Workflow_registration-Americas em QA, avisar para testar e depois enviar para PDR (script ignorou as alterações e será necessário corrigir manualmente).;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0911131;"Localização oferta serviço:
Retirar a localização por país CL e PE das ofertas de serviço PTP_137 e PTP_189, pois as mesmas não devem ser acessos por usuários do Chile ou Peru por serem restritas aos usuários do Brasil com acesso ao SAP B1.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0911190;Criação de formulário novo - RTR_FF_212 - aba Form Fields no catálogo de ofertas;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0911272;Ajuste OTC_237;Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0912090;"Criar carga para a tabela do B1 OCRG, campos GroupCode, GroupName, GroupType, PriceList.
Ajustar carga da tabela do B1 OCTG, para trazer a descrição corretamente.";Data and Loads;;No;11;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0912411;"Colocar no campo ""Parque fabril"" as opções Sabaneta e Córdoba se os usuários forem da Colômbia.";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0912697;Alterar o nome do RPA de 10.07.01-003 - TED para cobertura de contas Mudança para apenas: 10.07.01-003 - TED para cobertura de contas.;Workflows and Tasks;;Yes;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0912956;Transportar a RTR_Rout_397 Global HUB | UTC-3 | Every month | Last, 15 Month day | 0h - anticipated de DEV para QA, e depois dos testes, para PRD.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0913138;"Precisamos que seja criada uma regra para cair task para os atendentes das filas abaixo somente quando o solicitante for do mesmo país.
Ou seja, se o atendente for do Chile, cair somente task de solicitantes do país Chile.
Países que atenderão nas filas abaixo - Brasil, Chile e Peru.
_GG_WBS_OTC_BR_BILLING_AFTER_SALES_B1
_GG_WBS_OTC_BR_BILLING_B1
_GG_WBS_OTC_BR_COLLECTION_B1
_GG_WBS_OTC_BR_CREDIT_B1
_GG_WBS_OTC_BR_MASTER_DATA_B1
_GG_WBS_OTC_BR_ACCOUNTS_RECEIVABLE_B1";Agent Workspace;;No;10;5;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0913801;"Configurar valor para o campo ""reopen configuration"" nas ofertas de serviço listadas no documento em anexo. Os valores do campo também estão no anexo por oferta.";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0917961;"Gentileza fazer regra de location nas ofertas abaixo pra permitir que somente sejam abertas por usuários do Brasil.
Importante: nao alterar regra de ofertas que ja possuem restrição. Deixar a restrição existente.
A oferta OTC_058 por exemplo tem regra de restrição pra poder abrir somente para funcionarios do departamento plataforma global. Porém,  fiz um teste com usuario Chile e permitiu abrir. Aconteceu o mesmo na oferta OTC_345 que é somente para colaboradores do marketing corporativo Brasil..

Se for mais facil, segue anexo ofertas com locations.

OTC_136
OTC_058
OTC_141
OTC_142
OTC_143
OTC_234
OTC_236
OTC_281
OTC_282
OTC_345
OTC_346
OTC_347
OTC_348
OTC_352
OTC_354
OTC_365
OTC_367
OTC_371
OTC_372
OTC_382
OTC_386
OTC_401
OTC_404
OTC_405";Service Catalog;;No;12;5;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0917982;"As categorias e subcategorias da OTC ainda estao em Ingles ao acessar em espanhol.
Gentileza ajustar categorias no idioma correto.";Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0918464;"Gentileza alterar WF da oferta OTC_502 adicionando a tarefa conforme anexo. O objetivo é para que quando for solicitante do CL ou PE, abrir tarefa 2 e 3.
No anexo, se atentar a aba Workflolw.";Workflows and Tasks;;;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0919609;"Desenvolver solução na plataforma para que os gestores possam alterar a data e hora de execução das ofertas durante o período de férias.
Anexo arquivo com as necessidades e também sugestões.";Others;;No;21;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0919624;"Alteração no formulário - PTP_031:
O formulário é específico para fatura de telefone sendo assim, precisa ser aplicada as seguintes regras.

1 - Permitir selecionar no campo CC somente os CENTROS DE CUSTOS que comecem com a descrição DIS
Ex o mesmo foi aplicado para o formulário PTP_032 solicitado no chamado RITM0855212

2 - Neste caso o campo Conta Contábil sempre deve ser preenchido (automaticamente - e sem edição por parte do solicitante) com a conta número 411075073 --- esta conta é específica para determinação dos aprovadores para TELEFONE.";Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0919812;"Cadastrar Automation ""10.07.01-001 - Provisão de Caixa - Parte 1"" em todos os ambientes.";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0919902;Fazer tradução dos formulários: “Criar número de imobilizado - Por aquisição”,  “Criar número de imobilizado - Por Regularização”.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922146;"Alterar o FF139 para que quando selecionar a opção ""Alterar status (remover status ENCE)"", o campo ""Ordem"" não deve ser visível. Atualmente quando um dos três campos Ordem/PEP ou Diagrama de Rede é preenchido, os outros dois deixam de ser obrigatórios, com essa alteração o campo Ordem deixa de ser obrigatório para a solicitação de ""Alterar Status (remover status ENCE)"", já que estará invisível";Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922170;Na OTC_290 incluir tabela B1 para no multirow;Portal (Employees / Internal Users);;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922175;Cadastrar a restrição conforme localização, nas ofertas de RTR-Impostos, conforme lista no anexo.;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922388;"Revisar desenvolvimento da geração do texto dos e-mails de abertura e fechamento das solicitações (RITM), buscando otimização de performance.
- A tradução do texto pode ser feita apenas para o idioma do solicitante.
- Avaliar recomendações enviadas pela ServiceNow em um chamado que foi aberto.";Others;;No;12;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0922409;Alterar fila de trabalho / grupo de atribuição da Oferta RTR_778 - WF_704 - Step 3, de _GG_WBS_RTR_PE_TAX_CALCULATION_LOCAL_PERU, para: _GG_WBS_RTR_CL_TAX_CALCULATION_LOCAL_CHILE;Workflows and Tasks;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922474;Criar oferta de serviço e workflow conforme arquivo anexo;Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922521;"Carregar manualmente o STEP 1 do WF_3000, da Oferta RTR_3000, de Impostos.
https://weg365.sharepoint.com/:x:/r/sites/WBSStream/_layouts/15/Doc.aspx?sourcedoc=%7BC5C8D574-0DE8-40D4-8CE7-A2BE84A9CACB%7D&file=RTR_Workflow_registration-Americas.xlsx&action=default&mobileredirect=true";Workflows and Tasks;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922570;"Criar oferta de serviço exclusiva para uso de automação, não deverá ser habilitada na plataforma WBS para os usuários.
Informações técnicas disponibilizadas no arquivo em anexo.";Service Catalog;;Yes;12;5;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM0922901;Criar oferta de serviço e WF conforme anexo;Service Catalog;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0922914;"Ajustar os textos e traduções das categorias de TI.

Espanhol
DE ""Servicios > Equipments"" PARA ""Servicios > Equipos""
DE ""Administración del sistema de gestión de acceso"" PARA ""Gestión de acceso""

Inglês
DE ""Access Management System Administration"" PARA ""Access Management""

Português
NÃO MEXER!!!";Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0924059;Disparar em PRD manual a oferta RTR_1666 para teste em Liberação Controlada.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0925138;"Revisar tratamento do SLA de reabertura de solicitações e tarefas.
No caso de reabertura de uma tarefa está sendo criado um novo registro de SLA igual ao registro original.
Isso gera problema na geração dos indicadores de SLA das esteiras.
É preciso que a reabertura dê continuidade no SLA original, ou que seja criado um novo registro de SLA com nome específico de reabertura (semelhante ao SLA do Corporativo).
Também é necessário ajustar os dashboards que contém indicadores de SLA de acordo com a solução que for dada para o SLA de reabertura.";Others;;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0925291;"Alterar a solicitação RTR_1322 (RTR_WF_1496) Catálogo de serviços > Record to Report > Custos > Apurar e acompanhar custo planejado e reposição > ""Solicitar custo do produto sem material estruturado (WTI)"" o campo ""Centro"" para ""Centro Produtivo"", para facilitar a distinção dos solicitantes.";Service Catalog;;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0925485;"Cadastrar os aprovadores abaixo, no Servicenow:

Aprovadores no Chile:
Edison Silva Kiefer
Marco Antonio Guzman Leiva

Aprovadores no Peru:
Melissa Janet Espiell Diaz
Adams Marcacini (este será aprovador no Chile também, verificar se pode ser usado o mesmo nome -taxonomia- ou se precisa ser por localidade)";Others;;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM0925745;Adicionar Schedule Job RTR_Rout_297 Daily - 13:00 (GMT-3) - Global HUB - No Holidays na oferta RTR_1666 em todos os ambientes (DEV, QA e PDR).;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
